español,tailandés,Add Reverse
el siniestro,อุบัติเหตุ เหตุร้าย ภัย,y
el sobrino,หลานชายของลุงป้าน้าอา,y
el socorrista,กู้ภัย กู้ชีพ,y
el solsticio de invierno,เหมายัน,y
el solsticio de verano,ครีษมายัน,y
el sopor,อาการเหนื่อย หมดแรง จำศีล,y
el soporte de cuchillos,ที่เก็บมีด,y
el sorbo,อึก,y
el suavizante,น้ำยาปรับผ้านุ่ม,y
el subordinado,ลูกน้อง (s),y
el subsidio,เบี้ยเลี้ยง เงินช่วยเหลือ,y
el sudor,เหงื่อ,y
el suegro,พ่อตา,y
el sátiro,เทพารักษ์ (en: satyr),
el síntoma,อาการของโรค,y
el sótano,ห้องใต้ดิน,y
el súbdito,พลเมือง,
el taburete,เก้าอี้สูง (หน้าบาร์),y
el tacto,ประสาทสัมผัส,y
el talante,อารมณ์ ทัศนคติ,y
el tampón,ผ้าอนามัย,y
el tapacubos,ดิสก์ล้อรถ แม็ก,y
el tarjetero,ช่องใส่บัตร,y
el tarro,ไห ขวดแก้ว,
el tazón,ถ้วย (!b!c),y
el tañido,เสียงระฆัง,y
el tejado,หลังคา,y
el tejido,ผ้าถัก,y
el telar,เครื่องทอผ้า,y
el telefonillo,โทรศัพท์ (หน้าประตูบ้าน),y
el telón,ผ้าม่านโรงละคร,y
el temporizador,ที่ตั้งเวลา (เครื่องใช้ไฟฟ้า),y
el tendedero,ราวตากผ้า,y
el tenedor,ส้อม,y
el tentáculo,หนวดปลาหมึก (ไม่ใช่ขา),y
el termómetro,เทอร์โมมีเตอร์,y
el terraplén,ทำนบกั้นน้ำ เนินดิน,y
el terreno,ที่ดิน,y
el tesoro,สมบัติ,y
el tiburón,ปลาฉลาม,y
el timbre,ออด,y
el tiritón,การตัวสั่น,y
el tiroteo,การกราดยิง,y
el tobillo,ข้อเท้า ตาตุ่ม,y
el tobogán,สไลเดอร์,y
el tocayo,คนที่มีชื่อเหมือนกัน,y
el tocón,ตอไม้,y
el tomo,หนังสือเล่มหนา,y
el toque de queda,คำสั่งห้ามออกนอกเคหะสถาน,y
el torneo,ทัวร์นาเมนต์,y
el tortellini,พาสต้าแบบห่อที่ขด ๆ เป็นรูปวงแหวน สอดไส้,y
el trabalenguas,早口言葉,y
el tractorista,คนขับรถแทรกเตอร์,y
el tragaluz,หน้าต่างรับแสง,y
el traje,ชุดสูท,y
el transepto,ส่วนปีกของอาคารโบสถ์ (แนวนอนของกางเขน),y
el transeúnte,คนเดินถนน (!v!p),y
el tranvía,รถราง,y
el trapecio,สี่เหลี่ยมคางหมู,y
el trapo,ผ้าขี้ริ้ว(แห้ง),y
el trastorno,โรค ความผิดปกติ,y
el trastorno del sueño,ความผิดปกติในการนอนหลับ,y
el trauma,บาดแผล (ในกาย/ในใจ),y
el tribunal de apelación,ศาลอุธรณ์,y
el tribunal de primera instancia,ศาลชั้นต้น,y
el tribunal supremo,ศาลฎีกา,y
el trigo,ธัญพืช,y
el trineo,เกวียนเลื่อนไม่มีล้อ รถลากเลื่อนในหิมะ,y
el tripulante,คนงาน ลูกเรือ,y
el triángulo amoroso,รักสามเส้า,y
el trofeo,ถ้วยรางวัล,y
el tronco,ลำต้น (ต้นไม้),y
el truco,ทริค กล,y
el trueno,ฟ้าร้อง,y
el trueque,การแลกเปลี่ยนสินค้า,y
el trébol (de una carta),(ไพ่) ดอกจิก,y
el tríceps,กล้ามเนื้อไตรเซป,y
el tul,ผ้าบาง เนื้อละเอียด (เช่นใช้คลุมหน้าเจ้าสาวในงานแต่งงาน),y
el tándem,ทีม ทีมคู่,
el tétanos,โรคบาดทะยัก,y
el tímpano,แก้วหู,y
el tórax,ทรวงอก ช่องอก,y
el túnel,อุโมงค์,y
el umbral,ธรณีประตู ขอบเขต,y
el vagabundo,คนไร้บ้าน,y
el vaho,ลมหายใจ (!a),y
el varón,ตัวผู้,y
el velatorio,พิธีเฝ้าศพ,y
el velcro adhesivo,ตีนตุ๊กแก,y
el vello,ขน (ร่างกาย),y
el venado,กวาง (v),y
el vendaje,ผ้าพันแผล ผ้าก๊อซ,y
el vendedor,พนักงานขาย เซล,y
el verdugo,เพชฌฆาต,y
el veredicto,คำพิพากษา คำตัดสิน,y
el vestuario,ห้องลอกเกอร์ ห้องเปลี่ยนชุด,y
el vestíbulo,ลอบบี้ โถงอาคาร,y
el veterinario,สัตวแพทย์,y
el viandante,คนเดินเท้า (!t!p),y
el vidrio,แก้ว (วัสดุ),y
el vientre,สะดือ (v),y
el vigor,ความมีประสิทธิภาพ,
el visado,วีซ่า,y
el viñedo,ไร่องุ่น,y
el volante,พวงมาลัย,y
el volcán,ภูเขาไฟ,y
el voleibol,วอลเลย์บอล,y
el vértigo,อาการเวียนหัว,y
el yacimiento,ซากโบราณสถาน,y
el yerno,ลูกเขย,y
el yeso,พลาสเตอร์,y
el zapatero,ช่างรองเท้า,y
el zodiaco,จักรราศี,y
el zócalo,ส่วนหิน/อิฐที่ผนัง,y
el Ártico,อาร์กติก (ขั้วโลกเหนือ),y
el ámbito,สายงาน (en: field),y
el árbitro,กรรมการ,y
el átomo,อะตอม,y
el índice,นิ้วชี้,y
el/la friki,คนแปลก ๆ เนิร์ด,y
elogiar,ยกย่อง ชื่นชม สรรเสริญ,y
eludir,หนี หลบหลีก (e),y
embobar,ทำให้ประหลาดใจ ทำให้หลง,y
empachar,ทำให้เบื่อ ทำให้อาย ไม่ย่อย,y
empadronarse,ลงทะเบียนเป็นผู้อยู่อาศัย,y
empalagoso,หวานเลี่ยน น่าสะอิดสะเอียน,y
empalmar,เชื่อม ต่อ,
empapado,เปียกโชก (!m),y
empañarse,เป็นฝ้า ขึ้นฝ้า,y
empinado,ชัน,y
emprender,เริ่ม (ธุรกิจ),y
en cuanto,ทันทีที่,y
en plan,ราวกับ เหมือน ในฐานะ (!c),y
en vilo,หยุด เฝ้าคอยอย่างใจจดใจจอ ในสภาวะลุ้น การชะงัก,
encajar,เข้าได้พอดี เสียบลงพอดี,y
encandilar,ทำให้ตามัว ทำให้ทึ่ง,y
encargarse,รับผิดชอบ ทำหน้าที่ (en: handle),y
encasquetar,ยัดเยียด,y
encogerse,ย่อ ยกมือไม่รู้,y
encontrar la horma del zapato,(สำนวน) เจอคู่แท้ เจอคนที่ใช่,
encorvarse,นั่งหลังค่อม,y
endógeno,ที่เกิดภายในสิ่งมีชิวิต,y
enfurecerse,โกรธ,
enganchar,เกี่ยว เกี่ยวขอ คว้า ฉวย,y
engordar,อ้วนขึ้น,y
enjaular,จับเข้ากรง,y
enjuto,ลีน ผอมมาก (!~b~),y
enmendar,ปรับเปลี่ยน แก้ไข ทำให้ถูกต้อง,
ennegrecer,ทำให้เป็นสีดำ,y
enredar,พันกัน หวันกัน,y
enriquecer,ทำให้รวย,y
enseguida,ทันที,y
ensombrecer,ให้ร่มเงา ทำให้มืด,y
entrar en vigor,เริ่มบังคับใช้ (施行),y
entrañar un riesgo,มีความเสี่ยง,y
entregarse,มอบตัว,y
entretener,ทำให้สนุกสนาน (en: entertain),y
entristecer,ทำให้เศร้า,y
entumecer,ชา ทำให้เหน็บชา (!ให้ยาชา),y
envejecer,แก่ขึ้น (กริยา),y
envenenar,วางยาพิษ ใส่ยาพิษ,y
enésimo,ที่มากมาย (e),y
erguir,ยืนขึ้น,
eructar,เรอ,y
erudito,ที่คงแก่เรียน ที่มีความรู้,y
esbelto,ผอมเพรียว สลิม,y
esbozar,สเก็ตช์ภาพ,y
escalonado,ซึ่งเป็นขั้นเป็นตอน ที่เป็นชั้น ๆ,y
escalonar,ทำให้เป็นระเบียบ ทำให้เป็นขั้นเป็นตอน,y
escampar,ฟ้าสาง,y
escaso,ที่ขาดแคลน (คุณศัพท์ของ escasez),y
escatimar,หวง ประหยัด,y
escrutar,นับ คิด วิเคราะห์ (e),y
esculpir,แกะสลัก,y
escupir,ถ่มน้ำลาย,y
esfumar,ทำให้เบลอ ทำให้อ่อนลง,y
eslovaco,ที่เกี่ยวกับสโลวาเกีย,y
espantar,ไล่ (แมลง) ทำให้กลัว,y
espiar,(v.) สืบ ทำเป็นสายลับ,y
esporádico,(adj.) โดยบังเอิญ เป็นครั้งคราว,y
estafar,หลอกลวง ฉ้อกล,y
estamparse,ชน,
estancar,ทำให้ยืดยาว คงสภาพไว้ ป้องกันไว้,y
estar a dos velas,(สำนวน) ขาดแคลน มีไม่เพียงพอ ไม่มีเงิน,y
estar a tiempo,ยังมีเวลาเหลือ,y
estar como pez en el agua,สบายมาก รู้สึกดี ปลอดภัย สบาย อยู่ในสภาพแวดล้อมที่ผ่อนคลาย (สำนวน !salsa),y
estar como un flan,กังวล (สำนวน estar como ~),y
estar como una cabra,บ้า,
estar como una gamba,โดนแดดเผา ดำแดด (สำนวน estar como ~),y
estar cuatro gatos,(สำนวน) มีคนน้อย,y
estar de uñas,ทำท่าไม่เป็นมิตร,y
estar en celo,ติดสัด,y
estar en su salsa,อยู่ในที่ที่คุ้นเคย อยู่ในสภาพแวดล้อมที่เหมาะสม (สำนวน estar en ~),y
estar flipando,ตกใจสุดขีด,
estar forrado,รวยมาก (สำนวน),y
estar hasta en la sopa,(สำนวน) โผล่ทุกที่ ซ้ำ ๆ เจอได้บ่อย ๆ,y
estar tirado,ราคาถูก ง่าย,
esterilizar,ทำหมัน,y
estirar,ยืด ดึงออก,y
estornudar,จาม,y
estrenar,ใช้เป็นครั้งแรก,y
estrujar,บีบ คั้น โอบ ประคอง,y
estupefacto,ที่ประหลาดใจ ที่อึ้งจนพูดไม่ออก,y
estéril,ที่เป็นหมัน,y
exagerar,พูดเกินจริง,y
excavar,ขุดค้น ขุด(เพื่อเอาแร่),y
exhortar,กระตุ้น เคี่ยวเข็ญ,y
exigir,ต้องการ (e),
extenuar,ทำให้เหนื่อยหอบ สูบพลัง,y
extrapolar,นำมาพาดพิง (e),y
extraterrestre,ที่มาจากนอกโลก,y
extraviarse,หลงทาง (e),y
exógeno,ที่เกิดภายนอกสิ่งมีชิวิต ที่ไม่เป็นธรรมชาติ,y
eólico,(คุณศัพท์)ที่เกี่ยวกับลม,y
fastidiar,ทำให้หงุดหงิด,y
fatuoso,ฟุ่มเฟือย,y
fecundar,ผสมพันธ์ (สัตว์) (en: fertilise ≠ es: fertilizar),y
ferroviario,ที่เกี่ยวกับรถไฟ,y
fetén,ยอดเยี่ยม เจ๋ง,
fiarse de,เชื่อถือ (f),y
filial,ที่เกี่ยวกับลูก,y
fingir,แกล้ง ทำเป็น แสร้ง,y
flagelar,เฆี่ยนตี,y
flemático,เฉื่อยชา,y
formidable,ยอดเยี่ยม,
fracasar,ล้มเหลว ไม่ประสบความสำเร็จ (!fll),y
fregar,ถู (พื้น),y
frenar,หยุด เบรก (f),y
frenético,อย่างบ้าคลั่ง หนักหน่วง,y
frondoso,ดก,y
frotar,ถู ขัด,y
fucsia,สีบานเย็น,y
fugaz,(adj) ซึ่งเป็นช่วงเวลาสั้น ๆ,y
fulminar,"โจมตี ฆ่า (!m, !a)",y
fértil,ที่สามารถมีลูกได้,y
fúnebre,เกี่ยวกับงานศพ,y
galadonar (con ~),ตอบแทนรางวัล,y
garrafal,ยิ่งใหญ่ แย่ ใหญ่หลวง (!m),y
gemir,คราง,y
gestionar,จัดการ,
granizar,(ลูกเห็บ)ตก,y
grueso,หนา,y
guiñar,ขยิบตา วิ้ง (!กระพริบตา),y
gutural,ที่เกี่ยวกับเสียงที่เกิดจากลำคอ,y
gélido,ที่เป็นน้ำแข็ง,y
haber gato encerrado,น่าสงสัย มีลับลมคมใน (สำนวน),y
hacer el equipaje,จัดกระเป๋า,y
hacer furor,มีอิทธิพลต่อคนส่วนมาก,
hacer hincapié,เน้นย้ำ,
hacer la compra,ซื้อของชำของใช้ ไปซูเปอร์,y
hacer pellas,โดดเรียน,y
hacer un frío que pela,หนาวจัด (สำนวน),y
hambriento,ที่หิวโหย,y
heredar,สืบทอด,
hervir,ต้ม,y
heterodoxo,ที่ไม่เห็นด้วยกับความเชื่อทางศาสนา ที่ไม่เป็นไปตามกฤษฎี ที่นอกคอก,y
hidráulico,ไฮดรอลิก,y
hinchar,เป่าลม,y
hispalense,ที่มาจาก Sevilla / คำคุณศัพท์ของ Sevilla,y
holgazanear,นั่ง ๆ นอน ๆ ไม่ทำอะไร ทำตัวขี้เกียจ,y
hortera,รสนิยมต่ำ ไร้ค่า,y
hortofrutícola,เกี่ยวกับผลผลิตทางการเกษตร,y
hostigar,รังแก ทรมาน รบกวน ทำให้รำคาญ (h),y
humilde,ที่สุภาพ อ่อนน้อมถ่อมตน (!a!m),y
hundirse,จม,y
hurtar,ขโมย (!r),y
idílico,งดงามตามธรรมชาติ งดงามและสงบสุข,y
ileso,ซึ่งไม่ได้รับอันตราย,y
impasible,ที่ไม่แสดงอารมณ์ ไม่ดูทุกข์ร้อน,y
importar un comino,ไม่สำคัญ (สำนวน importar ~),y
imprevisible,คาดเดาไม่ได้ ทำนายไม่ได้,y
imprudente,ประมาท เลินเล่อ ไม่รอบคอบ (คำคุณศัพท์),y
inaugurar,เปิด เริ่ม (สถานที่),y
incitar,ยั่วยุ กระตุ้น เร้าให้เกิด,y
incoloro,ที่ไม่มีสี,y
inculcar,ปลูกฝัง สั่งสอน,y
indispensable,ที่ขาดไม่ได้ ที่สำคัญ,y
indistintamente,อย่างเท่ากัน โดยเท่ากัน,
infringir,ละเมิด,(!v)
ingenioso,ฉลาด,
inmenso,มโหฬาร มหึมา (i),y
inmolar,สังเวย บูชายัญ,y
inodoro,ที่ไม่มีกลิ่น,y
inquietante,(adj.) ที่ไม่น่าสบายใจ ที่น่ากังวลใจ,y
inquieto,ที่ลนลาน ที่ไม่อยู่นิ่ง (i),y
instruir,อบรม ฝึก สอน,y
insípido,จืด ที่ไม่มีรสชาติ,y
interminable,ไม่จบไม่สิ้น,y
intuir,หยั่งรู้ รู้สึกโดยสัญชาตญาณ,y
invernal,(adj) ที่เกี่ยวกับฤดูหนาว,y
ir de compras,ไปชอปปิง,y
ir de copas,ไปดื่มเหล้า,y
ir de empalme / ir de empalmada,การทำสิ่งหนึ่งสิ่งใดโดยเพิ่งเสร็จกิจกรรมก่อนหน้า,y
ir de picos pardos,ไปเที่ยว (สำนวน),y
irse por los cerros de Úbeda,พูดไปเรื่อย ตอบเลี่ยงประเด็น ออกทะเล,y
jadear,หอบ หายใจเฮือก,y
jerosolimitano,ที่เกี่ยวกับเยรูซาเล็ม,y
jobar,รบกวน ทำให้รำคาญ,
jorobarse,ทน,
judío,ที่เกี่ยวกับชาวยิว,y
la Antártica,ทวีปแอนตาร์กติกา (ขั้วโลกใต้),y
la Audiencia Provincial,ศาลอุธรณ์ (สเปน),y
la Bahía de Hudson,อ่าวฮัดสัน,y
la Ertzaintza,ตำรวจแคว้นบาสก์,y
la abdicación,การสละราชสมบัติ,y
la abeja,ผึ้ง,y
la abeja reina,นางพญาผึ้ง,y
la abreviatura,คำย่อ,y
la abstención,งดออกเสียง,y
la aceitera,ที่ใส่น้ำมัน,y
la acelga,ผักชาร์ด,y
la acequia,รางน้ำ คูน้ำ,y
la acrofobia,โรคกลัวความสูง,y
la acuarela,สีน้ำ,y
la aduana,ศุลกากร,y
la afeitadora,ที่โกนหนวด,y
la agarradera,ที่จับ (!m),y
la aglomeración,กอง ทะเนิน หมู่ ฝูง,y
la aguja,เข็มเย็บผ้า,y
la ala,ปีก,y
la alacena,ตู้ ชั้นวาง,y
la alarbarda,ง้าว,y
la albóndiga,ลูกชิ้น,y
la alcachofa,อาร์ติโชก,y
la alcantarilla,ท่อระบายน้ำ,y
la aldea,หมู่บ้านเล็ก ๆ เมืองเล็ก ๆ,y
la alfarería,ศิลปะการปั้นเครื่องปั้นดินเผา,y
la alfombra,พรม,y
la alfombrilla,แผ่นรองเมาส์,y
la alhabaca,กะเพรา,y
la almohada,หมอน,y
la alusión,การพาดพิง การอ้างถึง,
la angustia,ความเครียดวิตกกังวล อาการคลื่นไส้,y
la antelación,การแจ้งให้ทราบ,y
la antorcha,ไฟฉาย คบไฟ,y
la antropología,มานุษยวิทยา,y
la apendicitis,ไส้ติ่งอักเสบ,y
la ardilla,กระรอก,y
la arenisca,หินทราย,y
la aristocracia,การปกครองโดยชนชั้นสูง,y
la armonía,ฮาร์โมนี การประสานกัน,y
la arrocera,หม้อหุงข้าว,y
la arruga,รอยพับ รอยยับ รอยย่อน,y
la arteria,เส้นเลือดแดง,y
la artesanía,ศิลปหัตถกรรม,y
la artrosis,โรคข้อเสื่อม,y
la asfixia,อาการหายใจไม่ออก,y
la aspiradora,เครื่องดูดฝุ่น,y
la astilla,เสี้ยน,y
la atmósfera,ชั้นบรรยากาศ,y
la autoescuela,โรงเรียนสอนขับรถ,y
la autopista,ทางด่วน (เก็บค่าผ่านทาง),y
la autopsia,การชันสูตรศพ,y
la autovía,ทางหลวง,y
la avellana,เฮเซลนัท,y
la avena,ข้าวโอ๊ต,y
la aversión,ความเกลียดชัง ความขยะแขยง,
la axila,รักแร้,y
la azafata,แอร์โฮสเตส พนักงานต้อนรับบนเครื่องบิน,y
la azotea,ดาดฟ้า,y
la baguete,ขนมปังบาเกต์ฝรั่งเศส,y
la baldosa,กระเบื้อง,y
la ballena,ปลาวาฬ,y
la bandeja,ถาด,y
la barandilla,ราวจับ,y
la barbilla,ปลายคาง,
la barraca,กระท่อม,y
la barrera,ไม้กั้น ที่กั้นบนถนน,y
la barriga,พุง ท้อง (b),y
la bata,เสื้อคลุมอาบน้ำ เสื้อคลุมนอน,y
la batidora,เครื่องตี มิกเซอร์,y
la bayeta,ผ้าเช็ดโต๊ะ ผ้าขี้ริ้ว(หมาด),y
la bellota,ลูกโอ๊ก,y
la berenjena,มะเขือม่วง,y
la billetera,กระเป๋าเงิน (!c),y
la bisagra,บานพับ (!g),y
la boa,งูเหลือมทางอเมริกาใต้,y
la bocina,แตร (b),y
la bodega,โรงกลั่นไวน์,y
la bofetada,การตบด้วยฝ่ามือ (คำนามของ abofetear),y
la bombana de gas,ถังแก๊ส,y
la bombilla,หลอดไฟ,y
la borrasca,พายุดีเปรสชั่น,y
la boya,ทุ่นกลางทะเล,y
la boñiga,ขี้วัว ขี้ควาย,y
la brigada,ชุดปฏิบัติการ,y
la brillantina,กากเพชร (b),y
la brisa,ลมอ่อน ๆ สายลม,y
la brocheta,อาหารประเภทเสียบไม้,y
la bruja,แม่มด,y
la brújula,เข็มทิศ,y
la buhardilla,ห้องใต้หลังคา (!d),y
la burbuja,ฟอง,y
la butaca,เก้าอี้นวม,y
la báscula colgante,ตาชั่งแบบแขวน,y
la bóveda,หลังคาโค้ง ส่วนคานเพดานที่โค้ง,y
la cabalgata,พาเรด(ของสามกษัตริย์),y
la cabra,แพะ,y
la cadera,สะโพก,y
la cafetera,เครื่องทำกาแฟ,y
la caja de cambios automática,เกียร์อัตโนมัติ,y
la caja de cambios manual,เกียร์ธรรมดา,y
la cala,ส่วนเว้าของชายหาด,y
la calabaza,ฟักทอง,y
la calavera,หัวกะโหลก (ศิลปะ),y
la calima,พายุทราย เมฆหมอก ฝุ่นควัน,y
la calle de sentido único,ถนนเดินรถทางเดียว,y
la calle sin salida,ทางตัน,y
la callejuela,หุบเขา ถนนแคบ ๆ,y
la campana extractora,เครื่องดูดอากาศ,y
la campanilla,ลิ้นไก่ (!u),y
la cana,ผมหงอก,y
la canasta,ตะกร้า ห่วงบาสเกตบอล,y
la canica,ลูกแก้ว,y
la cantera,เหมืองหิน,y
la capucha,ฮูด หมวก,y
la cara (de la moneda),ด้านหัวของเหรียญ,y
la carencia,ความขาดแคลน (c),y
la carnicería,ร้านขายเนื้อ,y
la carpeta,แฟ้ม,y
la carretera preferente,ทางเอก,y
la cartera,กระเป๋าเงิน (!b),y
la casa adosada,ทาวน์เฮาส์,y
la caspa,รังแค,y
la castaña,เกาลัด,y
la catarata,น้ำตก,y
la cavidad,หลุม โพรง แอ่ง ถ้ำ,
la cazuela,หม้อต้ม,y
la caída,การร่วงหล่น,y
la caña de azúcar,อ้อย,y
la cebada,ข้าวบาร์เลย์,y
la ceca,โรงกษาปณ์,y
la ceja,คิ้ว,y
la celda,ห้องขัง กรงขัง,y
la ceniza,ขี้เถ้า,y
la cepa,สายพันธุ์,y
la cereza,เชอร์รี,y
la cerradura,กลอนประตู,y
la certeza,ความแน่นอน ความถูกต้อง (คำนามของ cierto),y
la cesárea,การผ่าคลอด,y
la chancla,รองเท้าแตะ,y
la chapa,แผ่นโลหะ ฝาขวด เหรียญตรา,y
la chatarra,เศษชิ้นส่วน เศษขยะ,
la chilaba,ชุดคลุมแบบโมร็อกโก,y
la chimenea,ปล่องไฟ,y
la chirimoya,น้อยหน่าเทศ,y
la chuchería,ขนมหวาน,y
la cicatriz,แผลเป็น,y
la cigüeña,นกกระสา,y
la cima,ยอดเขา (c~!b),y
la cinta andadora,เครื่องลู่วิ่ง,y
la cinta métrica,สายวัด / ตลับเมตร (!f),y
la cintura,เอว,y
la circunferencia,เส้นรอบวง,y
la ciruela,ลูกพลัม ลูกพรุน,y
la cista,หลุมเก็บของโบราณ หลุมศพโบราณ,y
la cisterna,แทงก์น้ำ,y
la cita (palabra),การอ้างถึง โควต,y´
la clara,ไข่ขาว,y
la claustrofobia,โรคกลัวที่แคบ,y
la clavícula,กระดูกไหปลาร้า,y
la cláusula,ข้อกำหนด (เงื่อนไข),y
la coca,ขนมปังที่เป็นเบเกอรี่แบน ๆ,y
la codorniz,นกกระทา,y
la cohesión,การทำงานร่วมกัน การประสานกัน,
la colcha,ผ้าคลุมเตียง,y
la colilla,ก้นบุหรี่,y
la colleja,การตบง่อน,y
la colonia,น้ำหอม (!p),y
la columna,กระดูกสันหลัง เสาค้ำ,y
la comarca,ภูมิภาค ขอบเขต บริเวณ,y
la cometa (astronomía),ดาวหาง,y
la cometa (juguete),ว่าว,y
la comidilla,เรื่องพูดคุย ประเด็นพูดคุย (en: talk of the town),y
la comisura,มุม (อวัยวะ เช่น มุมปาก),y
la comitiva,กลุ่มผู้ติดตาม,y
la comodidad,การอำนวยความสะดวก สิ่งอำนวยความสะดวก,y
la competencia,การแข่งขัน,y
la compostura,การซ่อมแซม,
la conducta,พฤติกรรม สันดาน,y
la conmoción,ช็อก สภาวะตกใจ,y
la contraventana,บานเกล็ดหน้าต่าง,y
la contusión,ช้ำใน,y
la conífera,พืชจำพวกสน,
la copa (de planta),ยอดไม้,y
la cordialidad,ความเป็นมิตร ความอบอุ่น ความเป็นกันเอง,y
la cordillera,เทือกเขา (ขนาดใหญ่) (!s),y
la cornamusa,ปี่,y
la cornisa,บัวเพดาน,y
la correa,เข็มขัด,
la corriente,กระแส(น้ำ),y
la corteza,พื้นผิว เปลือกหุ้ม เปลือกโลก,y
la cortina,ผ้าม่าน,y
la costilla,ซี่โครง,y
la costra,ขอบ ชั้น (เช่น ผิวชีส),y
la crema de avellanas y chocolate,ครีมถั่วเฮเซลนัทช็อกโกแลต (นูเทลลา),y
la cremallera,ซิป,y
la cresta (de gallo),หงอนไก่,y
la crisis,วิกฤต,y
la cruz (de la moneda),ด้านก้อยของเหรียญ,y
la cuchara,ช้อน,y
la cuenca,ลุ่มน้ำ,y
la cuerda,เชือก,y
la cuesta,เนิน,y
la cuestión,ประเด็น,y
la cumbre,จุดสูงสุด ยอดเขา (!cm),y
la cuna,เปล,y
la cuneta,คู ท้องร่องข้างถนน,y
la curva muy cerrada,โค้งหักศอก,y
la cuñada,พี่สะใภ้ น้องสะใภ้,y
la cáscara,เปลือก,y
la célula,เซลล์,y
la cúpula,โดม,y
la deflación,เงินฝืด,y
la delincuencia,การประพฤติไม่ดี,y
la dentadura postiza,ฟันปลอม,y
la depuradora,โรงบำบัดน้ำเสีย,y
la deriva,การเลื่อน การล่องลอยไป,y
la desalación,กระบวนการแยกเกลือออกจากน้ำ,y
la descortesía,การเสียมารยาท,y
la deshidratación,อาการขาดน้ำ,y
la desolación,การทิ้งร้าง ความเศร้าโศก,
la deuda,หนี้สิน,y
la diadema,ที่คาดผม,y
la diarrea,ท้องร่วง ท้องเสีย,y
la diatomita,ดินเบา,y
la dicotomía,การแบ่งเป็นสอง,y
la dieta,ไดเอ็ต พฤติกรรมการรับประทานอาหาร,y
la difteria,โรคคอตีบ,y
la difusión,การกระจาย,y
la dimisión,การลาออกจากตำแหน่ง (d),y
la dirección (de la empresa),ฝ่ายบริหาร (ของบริษัท) (d),y
la discrepancia,ความไม่ลงรอยกัน ความขัดแย้งกัน,
la diáspora,การอพยพถิ่นฐานของชาวยิว,y
la emblema,ตรายี่ห้อรถ,y
la emboscada,การซุ่มโจมตี,y
la emisora,สถานีวิทยุโทรทัศน์กระจายเสียง,y
la empinada,ทางชัน (e),y
la encadenación,ความเชื่อมต่อกัน,
la encimera de gas,เตาแก๊ส,y
la encimera eléctrica,เตาไฟฟ้า,y
la encrucijada,ทางแยก,y
la encía,เหงือก,y
la epidemiología,ระบาดวิทยา,
la epilepsia,โรคลมบ้าหมู,y
la escala lineal,สเกลเชิงเส้น,y
la escala logarítmica,สเกลลอการิธึม,y
la escalera de caracol,บันไดวน,y
la escama,เกล็ด (หนังสัตว์),y
la escarcha,เหมยขาบ,y
la escasez,การขาดแคลน (e),y
la escoba,ไม้กวาด,y
la escobilla,แปรงขัดส้วม,y
la escolopendra,ตะขาบ (!c),y
la escuadra,ไม้ฉาก,y
la esencia,แก่น สาระสำคัญ,y
la espinilla,หน้าแข้ง,y
la espumadera,ทัพพีแบบมีรู,y
la espátula,ช้อนแบน ที่ฉาบปูน ทัพพีเปปังยากิ,y
la estampida,ความแตกตื่น ความโกลาหล,y
la estantería,ชั้นหนังสือ,y
la estatua,รูปปั้น อนุสาวรีย์,y
la estatura,ความสูง (ไม่ใช่ altura),y
la estrella fugaz,ดาวตก,y
la estufa,เตา,
la estética,สุนทรียศาสตร์,y
la etapa,ช่วง ยุค เฟส (et),y
la etimología,นิรุกติศาสตร์ (ศึกษาที่มาของคำ),y
la eutanasia,การุณยฆาต,y
la excavadora,รถขุดเจาะ รถเจาะถนน,y
la expectativa,ความคาดหวัง,y
la expedición,การสำรวจ ออกเดินทางไกล,y
la factura,ใบแจ้งหนี้,y
la falcata,กริช ดาบโบราณ,y
la fama,ชื่อเสียง (!r),y
la farola,เสาไฟ ประภาคาร,y
la fatiga,อาการเหนื่อยล้า,
la fauna,สัตว์ประจำถิ่น,y
la feria,แฟร์ มหกรรม,y
la ferretería,ร้านขายอุปกรณ์เครื่องมืองานช่าง,y
la fiambrera,ปิ่นโต,y
la ficha,ป้ายแท็ก สิ่งที่ใช้แทนสกุลเงิน เหรียญตรา(ในเกม เป็นต้น),y
la fidelidad,ความซื่อสัตย์ (f),y
la firma,ลายเซ็น,y
la flagelación,การเฆี่ยนตี การลงแส้ (คำนาม),y
la flauta,ขลุ่ย,y
la flecha,ลูกศร,y
la flojera,ความอ่อนแรง ความง่วงซึม,y
la flota,ขบวน (ยานพาหนะ) กองเรือ กลุ่มรถ,y
la foca,แมวน้ำ,y
la fondue,ฟองดูว์,y
la fosa,หลุมศพ คูน้ำรอบปราสาท,y
la fosa de las Marianas,ร่องลึกมาเรียนา,y
la fractura,กระดูกหัก,y
la franja,เส้น ขอบ กรอบ เขตแดน ชิ้นยาว ๆ (f),y
la fregona,ไม้ถูพื้น,y
la freidora,เครื่องทอด,y
la frente (del cuerpo),หน้าผาก,y
la furgoneta,รถตู้,y
la furia,ความเกรี้ยวกราด (!i!a),y
la gacha,สิ่งที่บด อาหารบด,y
la galanga,ข่า,y
la gama,ห้วง สเปกตรัม,y´
la ganancia,กำไร ผลประโยชน์,y
la garra,กรงเล็บ,y
la garrapata,เห็บ,y
la gaviota,นกนางนวล,y
la gerencia,ตำแหน่งบริหาร (g),y
